//HSK 1 Study
爱	ai4	n. love
接电话	jie1dian4hua4	v. answer phone, pick up phone
赠品	zeng4pin3	n. freebies
你的作业	ni3de5zuo4ye4	n. your homework
早上有人给你打了一个电话。	zao3shang5 you3ren2 gei3 ni3 da3le5 yi1ge4 dian4hua4	phr. Someone called you this morning.
工程师	gong1cheng2shi1	n. engineer
蛋糕	dan4gao1	n. cake
现在我们一起去吃吧。	xian4zai4 wo3men yi1qi3 qu4 chi1 ba5	phr. Right now, let's go eat together. (吧 suggests a suggestion)
我们给你留了一些糕点。	wo3men gei3 ni3 liu2le5 yi1xie1 gao1dian3	phr. We saved you some pastries. (蛋挞 dàn tǎ refers to egg tarts)
谁会说汉语？	shei2 hui4 shuo1 Han4yu3	phr. Who can speak Chinese?
这是谁的书？	zhe4 shi4 shei2de5 shu1	phr. Whose book is this?
我到家了。祝你周末愉快。	wo3 dao4 jia1 le5. zhu4 ni3 zhou1mo4 yu2kuai4.	phr. I’m home. Have a nice weekend.
晚上我们去饭馆吃饭，怎么样？	wan3shang5 wo3men qu4 fan4guan3 chi1fan4, zen3me5yang4?	phr. Let's go to a restaurant for dinner. What do you think?
下星期	xia4xing1qi1	n. next week
